codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0265E,"Paella valenciana, s/ sal", ,118 kcal,72.3 g,13.3 g,10.8 g,2.60 g,1.00 g,0.00 g,1.02 g,55.5 mg,0.53 g,0.57 g,1.18 g,0.01 g,25.7 mg,4.81 mg,138 mg,25.2 mg,94.6 mg,174 mg,1.09 mg,0.41 mg,8.76 mcg,6.78 mcg,15.7 mcg,0.01 mcg,0.57 mg,0.05 mg,0.04 mg,1.27 mg,0.09 mg,3.97 mcg,10.5 mg,14.5 mcg,0.00 g,0.00 g,
C0297C,"Pajurá, polpa, in natura",couepia bracteosa ,136 kcal,64.9 g,31.3 g,2.23 g,0.19 g,0.00 g,0.00 g,1.32 g,nan mg,0.03 g,0.02 g,0.02 g,0.00 g,23.4 mg,0.47 mg,14.2 mg,26.9 mg,38.8 mg,385 mg,0.46 mg,0.18 mg,0.77 mcg,195 mcg,97.0 mcg,nan mcg,nan mg,0.23 mg,0.13 mg,tr mg,0.10 mg,0.00 mcg,18.4 mg,21.9 mcg,0.00 g,0.00 g,
C0220K,Palha italiana, ,407 kcal,13.4 g,64.9 g,6.77 g,13.6 g,1.02 g,0.00 g,1.53 g,nan mg,5.75 g,5.14 g,1.91 g,0.71 g,136 mg,2.01 mg,202 mg,33.0 mg,161 mg,217 mg,0.77 mg,0.13 mg,3.85 mcg,56.7 mcg,56.2 mcg,0.07 mcg,0.46 mg,0.43 mg,0.31 mg,1.67 mg,0.19 mg,0.26 mcg,0.00 mg,66.4 mcg,nan g,nan g,
C0078B,"Palmito, conversa, drenado (média de variedades - Pupunha e Juçara)", ,25 kcal,90.3 g,4.69 g,2.44 g,0.34 g,3.12 g,- g,2.20 g,0.00 mg,0.09 g,tr g,0.09 g,tr g,45.4 mg,0.24 mg,538 mg,29.6 mg,47.6 mg,225 mg,0.52 mg,0.15 mg,0.60 mcg,0.00 mcg,0.00 mcg,0.00 mcg,nan mg,0.05 mg,0.02 mg,tr mg,tr mg,nan mcg,5.32 mg,38.5 mcg,nan g,0.00 g,
C0996B,"Palmito, Juçara, conserva, drenado",euterpe edulis ,22 kcal,91.4 g,4.33 g,1.79 g,0.40 g,3.15 g,0.00 g,2.11 g,nan mg,0.10 g,tr g,0.10 g,tr g,58.3 mg,0.30 mg,513 mg,33.7 mg,40.3 mg,243 mg,0.73 mg,0.23 mg,0.60 mcg,0.00 mcg,0.00 mcg,0.00 mcg,nan mg,0.06 mg,0.04 mg,tr mg,tr mg,0.00 mcg,1.98 mg,38.5 mcg,nan g,nan g,
C0995B,"Palmito, Pupunha, conserva, drenado",bactris gasipaes ,31 kcal,89.4 g,5.51 g,2.46 g,0.45 g,2.55 g,0.00 g,2.14 g,0.00 mg,0.09 g,tr g,0.09 g,tr g,32.4 mg,0.18 mg,562 mg,25.5 mg,55.0 mg,206 mg,0.36 mg,0.08 mg,0.60 mcg,0.00 mcg,0.00 mcg,0.00 mcg,nan mg,0.03 mg,0.00 mg,tr mg,tr mg,0.00 mcg,8.66 mg,38.5 mcg,nan g,nan g,
C1051A,"Pamonha, milho verde, c/ coco ralado, c/ açúcar", ,219 kcal,53.4 g,35.4 g,2.45 g,8.08 g,2.43 g,0.00 g,0.63 g,4.19 mg,3.40 g,0.71 g,1.15 g,0.09 g,8.79 mg,0.62 mg,108 mg,19.5 mg,52.0 mg,148 mg,0.51 mg,0.06 mg,2.89 mcg,27.0 mcg,21.2 mcg,0.00 mcg,0.36 mg,tr mg,tr mg,tr mg,tr mg,0.10 mcg,0.25 mg,20.0 mcg,0.00 g,10.00 g,
C1050A,"Pamonha, milho verde, c/ queijo muçarela", ,202 kcal,58.3 g,24.9 g,6.81 g,8.76 g,1.90 g,0.00 g,1.23 g,20.1 mg,3.25 g,1.75 g,1.22 g,0.26 g,158 mg,0.34 mg,206 mg,16.8 mg,136 mg,113 mg,1.06 mg,0.04 mg,5.45 mcg,49.4 mcg,42.6 mcg,0.01 mcg,0.37 mg,tr mg,0.04 mg,tr mg,tr mg,0.58 mcg,0.00 mg,18.7 mcg,nan g,0.00 g,
C0142A,"Pamonha, milho verde, pré-cozido", ,172 kcal,61.3 g,30.7 g,2.55 g,4.85 g,2.37 g,0.00 g,0.61 g,5.24 mg,0.85 g,1.20 g,2.40 g,0.18 g,4.16 mg,0.36 mg,131 mg,15.3 mg,54.6 mg,125 mg,0.42 mg,0.03 mg,2.25 mcg,33.7 mcg,26.5 mcg,0.00 mcg,0.41 mg,tr mg,tr mg,tr mg,tr mg,0.00 mcg,tr mg,21.6 mcg,nan g,nan g,
C0971F,"Panelada, c/ sal ", ,164 kcal,70.6 g,1.54 g,16.4 g,10.4 g,0.36 g,0.00 g,1.09 g,114 mg,3.69 g,4.30 g,1.29 g,0.07 g,10.9 mg,2.43 mg,240 mg,10.2 mg,61.7 mg,105 mg,2.06 mg,0.07 mg,15.4 mcg,7.52 mcg,6.45 mcg,0.05 mcg,0.33 mg,0.04 mg,0.28 mg,1.90 mg,0.03 mg,1.40 mcg,16.3 mg,7.55 mcg,0.50 g,0.00 g,
C0972F,"Panelada, s/ sal ", ,164 kcal,71.1 g,1.56 g,16.4 g,10.4 g,0.37 g,0.00 g,0.65 g,114 mg,3.69 g,4.30 g,1.29 g,0.07 g,11.5 mg,2.44 mg,60.7 mg,10.3 mg,61.9 mg,107 mg,2.07 mg,0.07 mg,15.4 mcg,9.25 mcg,7.32 mcg,0.05 mcg,0.34 mg,0.04 mg,0.28 mg,1.90 mg,0.03 mg,1.40 mcg,16.4 mg,7.87 mcg,0.00 g,0.00 g,
C0924A,"Panetone, c/ chocolate e nozes, caseiro", ,505 kcal,1.91 g,60.1 g,11.0 g,25.1 g,2.70 g,0.00 g,1.93 g,95.6 mg,8.88 g,5.86 g,8.39 g,0.32 g,66.9 mg,3.86 mg,314 mg,55.6 mg,195 mg,237 mg,1.22 mg,0.26 mg,8.33 mcg,104 mcg,102 mcg,0.40 mcg,0.49 mg,0.19 mg,0.13 mg,0.80 mg,0.12 mg,0.29 mcg,0.00 mg,104 mcg,0.70 g,nan g,
C0923A,"Panetone, c/ frutas cristalizadas, caseiro", ,413 kcal,6.47 g,75.1 g,7.74 g,9.46 g,1.81 g,0.00 g,1.27 g,92.7 mg,4.83 g,2.59 g,0.60 g,0.27 g,22.9 mg,3.22 mg,335 mg,18.8 mg,91.8 mg,123 mg,0.72 mg,0.10 mg,6.40 mcg,104 mcg,102 mcg,0.40 mcg,0.41 mg,0.13 mg,0.10 mg,0.54 mg,0.00 mg,0.16 mcg,0.00 mg,103 mcg,0.40 g,9.30 g,
C0661A,"Panetone, frutas, caseiro", ,391 kcal,11.5 g,69.0 g,8.24 g,9.63 g,2.39 g,0.00 g,1.62 g,92.7 mg,4.88 g,2.60 g,0.64 g,0.27 g,25.9 mg,3.36 mg,310 mg,23.9 mg,113 mg,234 mg,0.74 mg,0.13 mg,6.30 mcg,112 mcg,107 mcg,0.40 mcg,0.61 mg,0.14 mg,0.12 mg,0.65 mg,0.03 mg,0.16 mcg,1.18 mg,104 mcg,0.70 g,9.30 g,
C1117A,"Panqueca de beterraba, c/ recheio de jaca cozida, c/ molho de tomate, c/ sal", ,154 kcal,64.6 g,26.1 g,3.39 g,4.64 g,2.82 g,0.00 g,1.21 g,nan mg,0.64 g,1.21 g,2.60 g,0.05 g,15.2 mg,1.01 mg,190 mg,33.7 mg,38.1 mg,253 mg,0.46 mg,0.12 mg,1.06 mcg,14.6 mcg,9.14 mcg,0.00 mcg,0.30 mg,0.13 mg,0.02 mg,0.38 mg,0.04 mg,0.00 mcg,11.5 mg,64.6 mcg,0.00 g,0.47 g,
C1164A,"Panqueca nordestina, Bruaca", ,182 kcal,35.9 g,53.4 g,5.55 g,3.56 g,1.03 g,0.69 g,1.60 g,nan mg,1.96 g,0.88 g,0.26 g,0.10 g,144 mg,2.34 mg,229 mg,20.6 mg,215 mg,331 mg,0.55 mg,0.08 mg,4.34 mcg,40.7 mcg,40.1 mcg,0.48 mcg,0.07 mg,0.12 mg,0.10 mg,0.91 mg,tr mg,0.15 mcg,tr mg,114 mcg,20.0 g,0.00 g,
C1135A,"Panqueca, banana e aveia", ,324 kcal,33.1 g,39.8 g,11.3 g,14.4 g,4.80 g,0.00 g,1.44 g,nan mg,6.15 g,4.78 g,1.75 g,0.24 g,49.3 mg,2.15 mg,74.5 mg,57.8 mg,156 mg,310 mg,1.64 mg,0.20 mg,0.17 mcg,92.9 mcg,87.0 mcg,0.90 mcg,0.61 mg,0.19 mg,0.16 mg,1.42 mg,0.10 mg,0.46 mcg,4.29 mg,48.8 mcg,3.00 g,0.00 g,
C0772A,"Panqueca, c/ banana, c/ açúcar e canela", ,209 kcal,54.2 g,32.4 g,5.39 g,6.73 g,1.54 g,0.00 g,1.23 g,59.6 mg,1.82 g,1.82 g,2.59 g,0.04 g,56.8 mg,1.64 mg,200 mg,25.0 mg,87.0 mg,249 mg,0.59 mg,0.09 mg,5.30 mcg,53.2 mcg,47.7 mcg,0.29 mcg,0.56 mg,0.08 mg,0.18 mg,0.85 mg,0.05 mg,0.24 mcg,4.50 mg,50.4 mcg,0.00 g,4.70 g,
C0324A,"Panqueca, c/ carne moída refogada, c/ molho de tomate, c/ sal", ,201 kcal,60.8 g,10.9 g,15.7 g,10.7 g,0.85 g,0.00 g,1.86 g,68.7 mg,3.31 g,3.34 g,3.62 g,0.13 g,32.5 mg,1.93 mg,381 mg,18.6 mg,149 mg,277 mg,4.09 mg,0.10 mg,5.14 mcg,52.1 mcg,38.2 mcg,0.20 mcg,0.84 mg,0.13 mg,0.21 mg,2.41 mg,0.03 mg,1.77 mcg,4.28 mg,27.8 mcg,0.47 g,0.00 g,
C0586A,"Panqueca, c/ frios, c/ molho de tomate, caseira, c/ sal", ,205 kcal,60.9 g,11.6 g,12.7 g,12.2 g,0.78 g,0.00 g,2.65 g,61.8 mg,5.05 g,3.19 g,2.34 g,0.24 g,227 mg,1.09 mg,617 mg,20.0 mg,242 mg,216 mg,1.69 mg,0.09 mg,4.73 mcg,50.8 mcg,36.9 mcg,0.28 mcg,0.59 mg,0.21 mg,0.16 mg,1.44 mg,0.01 mg,0.83 mcg,4.89 mg,29.1 mcg,0.47 g,0.00 g,
C0587A,"Panqueca, c/ frios, s/ molho, caseira, c/ sal", ,239 kcal,54.6 g,13.5 g,15.2 g,13.9 g,0.36 g,0.00 g,2.83 g,78.5 mg,6.00 g,3.67 g,2.25 g,0.29 g,273 mg,1.29 mg,658 mg,21.0 mg,287 mg,193 mg,2.01 mg,0.09 mg,5.97 mcg,31.2 mcg,31.0 mcg,0.36 mcg,0.47 mg,0.23 mg,0.20 mg,1.79 mg,0.00 mg,1.01 mcg,0.98 mg,33.9 mcg,0.47 g,0.00 g,
C0584A,"Panqueca, c/ peito de frango refogado, c/ molho de tomate, caseira, c/ sal", ,175 kcal,62.3 g,10.9 g,17.8 g,6.88 g,0.85 g,0.00 g,2.04 g,63.5 mg,1.81 g,2.06 g,2.39 g,0.03 g,35.2 mg,1.16 mg,416 mg,31.5 mg,206 mg,310 mg,0.82 mg,0.08 mg,9.16 mcg,51.6 mcg,37.7 mcg,0.16 mcg,0.95 mg,0.12 mg,0.10 mg,3.73 mg,0.02 mg,0.23 mcg,4.29 mg,30.4 mcg,0.47 g,0.00 g,
C0585A,"Panqueca, c/ peito de frango refogado, s/ molho, caseira, c/ sal", ,203 kcal,52.5 g,12.7 g,21.3 g,7.48 g,0.44 g,0.00 g,2.02 g,80.6 mg,2.12 g,2.32 g,2.31 g,0.04 g,43.1 mg,1.38 mg,380 mg,34.8 mg,244 mg,306 mg,0.96 mg,0.07 mg,11.3 mcg,32.3 mcg,32.0 mcg,0.21 mcg,0.90 mg,0.12 mg,0.13 mg,4.54 mg,0.01 mg,0.29 mcg,0.27 mg,35.5 mcg,0.47 g,0.00 g,
C0814A,"Panqueca, c/ recheio de carne moída, s/ molho,  c/ sal", ,243 kcal,52.4 g,16.6 g,17.1 g,12.1 g,0.51 g,0.00 g,1.84 g,90.3 mg,3.80 g,3.76 g,3.94 g,0.14 g,48.3 mg,2.34 mg,373 mg,19.4 mg,169 mg,252 mg,4.23 mg,0.10 mg,6.98 mcg,40.4 mcg,40.0 mcg,0.30 mcg,0.80 mg,0.13 mg,0.27 mg,1.95 mg,0.01 mg,1.86 mcg,0.21 mg,39.5 mcg,0.47 g,0.00 g,
C1159A,"Panqueca, c/ recheio de creme de avelã, s/ cobertura", ,410 kcal,21.8 g,48.1 g,6.95 g,21.8 g,3.37 g,0.00 g,1.52 g,nan mg,17.1 g,1.49 g,2.12 g,0.03 g,100 mg,3.54 mg,96.4 mg,44.3 mg,146 mg,306 mg,1.00 mg,0.30 mg,6.26 mcg,35.7 mcg,35.4 mcg,0.24 mcg,3.17 mg,0.11 mg,0.24 mg,0.93 mg,0.05 mg,0.34 mcg,tr mg,41.4 mcg,nan g,nan g,
C1113A,"Panqueca, c/ recheio de proteína de soja, c/ sal", ,206 kcal,49.1 g,30.0 g,14.3 g,3.93 g,3.39 g,0.00 g,2.61 g,nan mg,0.55 g,1.13 g,2.33 g,0.05 g,74.1 mg,3.55 mg,376 mg,20.0 mg,160 mg,101 mg,0.99 mg,0.07 mg,1.30 mcg,23.5 mcg,13.8 mcg,0.20 mcg,1.42 mg,0.08 mg,0.02 mg,0.67 mg,0.04 mg,0.00 mcg,2.38 mg,29.8 mcg,0.00 g,0.47 g,
C0582A,"Panqueca, c/ ricota e espinafre, c/ molho de tomate, caseiro, c/ sal", ,134 kcal,72.3 g,12.4 g,6.60 g,6.77 g,1.25 g,0.00 g,1.93 g,44.7 mg,2.28 g,1.84 g,2.11 g,0.08 g,109 mg,0.95 mg,451 mg,20.4 mg,95.8 mg,187 mg,0.49 mg,0.07 mg,2.94 mcg,104 mcg,82.5 mcg,0.19 mcg,1.06 mg,0.08 mg,0.17 mg,0.46 mg,0.02 mg,0.21 mcg,4.32 mg,53.8 mcg,0.47 g,0.00 g,
C0583A,"Panqueca, c/ ricota e espinafre, s/ molho, caseira, c/ sal", ,169 kcal,66.3 g,14.7 g,8.12 g,8.87 g,1.10 g,0.00 g,2.00 g,57.9 mg,2.92 g,2.43 g,2.80 g,0.11 g,145 mg,1.24 mg,432 mg,47.9 mg,114 mg,151 mg,0.69 mg,0.05 mg,7.87 mcg,232 mcg,139 mcg,0.25 mcg,0.41 mg,0.08 mg,0.21 mg,0.62 mg,0.04 mg,0.27 mcg,1.56 mg,33.3 mcg,0.47 g,0.00 g,
C0588A,"Panqueca, c/ vegetais, c/ molho de tomate, caseira, c/ sal", ,104 kcal,77.7 g,12.5 g,3.52 g,4.78 g,1.75 g,0.00 g,1.49 g,32.5 mg,1.17 g,1.24 g,2.08 g,0.02 g,40.6 mg,0.95 mg,378 mg,15.3 mg,59.8 mg,189 mg,0.43 mg,0.07 mg,3.02 mcg,167 mcg,95.4 mcg,0.16 mcg,0.75 mg,0.08 mg,0.11 mg,0.73 mg,0.03 mg,0.13 mcg,4.57 mg,34.9 mcg,0.47 g,0.00 g,
C0589A,"Panqueca, c/ vegetais, s/ molho, caseira, c/ sal", ,117 kcal,74.8 g,14.7 g,4.15 g,4.95 g,1.55 g,0.00 g,1.35 g,43.3 mg,1.34 g,1.33 g,1.94 g,0.03 g,50.0 mg,1.13 mg,334 mg,15.1 mg,68.3 mg,162 mg,0.50 mg,0.06 mg,3.93 mcg,182 mcg,106 mcg,0.21 mcg,0.68 mg,0.07 mg,0.14 mg,0.97 mg,0.02 mg,0.17 mcg,0.53 mg,40.4 mcg,0.47 g,0.00 g,
C0872A,"Panqueca, peito de frango e requeijão, s/ molho", ,216 kcal,57.2 g,10.2 g,19.4 g,10.9 g,0.33 g,0.00 g,2.20 g,118 mg,3.11 g,3.34 g,3.14 g,0.05 g,32.9 mg,1.07 mg,336 mg,28.3 mg,198 mg,249 mg,0.77 mg,0.05 mg,9.09 mcg,24.3 mcg,24.1 mcg,0.16 mcg,0.72 mg,0.09 mg,0.10 mg,3.73 mg,0.01 mg,0.23 mcg,0.22 mg,27.0 mcg,0.47 g,0.00 g,
C0830A,"Pão de alho, assado", ,304 kcal,31.8 g,45.6 g,10.4 g,9.36 g,2.23 g,0.00 g,2.54 g,10.0 mg,3.17 g,2.26 g,2.50 g,0.33 g,120 mg,3.31 mg,833 mg,22.3 mg,153 mg,148 mg,1.08 mg,0.12 mg,7.90 mcg,22.5 mcg,16.0 mcg,0.08 mcg,0.39 mg,0.29 mg,0.55 mg,1.75 mg,0.49 mg,0.14 mcg,1.40 mg,107 mcg,nan g,nan g,
C1112A,"Pão de cebola, caseiro", ,504 kcal,4.91 g,58.9 g,9.10 g,26.1 g,1.22 g,0.00 g,1.01 g,nan mg,2.94 g,6.51 g,16.1 g,0.32 g,18.0 mg,3.65 mg,3.01 mg,51.2 mg,178 mg,245 mg,1.75 mg,0.22 mg,7.36 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.17 mg,0.18 mg,0.08 mg,2.16 mg,0.08 mg,0.00 mcg,0.52 mg,139 mcg,3.00 g,0.70 g,
C0915A,"Pão de mel, c/ cobertura", ,370 kcal,29.3 g,44.4 g,5.10 g,19.4 g,1.31 g,0.00 g,1.88 g,76.1 mg,11.0 g,5.72 g,0.67 g,0.41 g,169 mg,1.89 mg,246 mg,28.9 mg,246 mg,359 mg,0.65 mg,0.14 mg,5.14 mcg,139 mcg,137 mcg,0.23 mcg,0.56 mg,0.08 mg,0.13 mg,0.54 mg,0.15 mg,0.38 mcg,0.08 mg,51.3 mcg,0.00 g,nan g,
C0084N,"Pão de mel, c/ cobertura, chocolate diet", ,331 kcal,35.4 g,40.3 g,5.80 g,16.5 g,1.89 g,0.00 g,1.96 g,77.5 mg,9.18 g,5.20 g,0.79 g,0.30 g,184 mg,2.14 mg,319 mg,30.0 mg,288 mg,414 mg,0.76 mg,0.17 mg,3.74 mcg,15.4 mcg,15.4 mcg,0.32 mcg,0.90 mg,0.06 mg,0.09 mg,0.39 mg,tr mg,0.49 mcg,0.03 mg,13.4 mcg,nan g,nan g,
C0917A,"Pão de mel, c/ recheio de brigadeiro, c/ cobertura", ,361 kcal,28.5 g,47.4 g,5.52 g,16.8 g,1.05 g,0.00 g,1.83 g,66.1 mg,9.63 g,4.95 g,0.60 g,0.32 g,188 mg,1.55 mg,224 mg,27.7 mg,270 mg,360 mg,0.69 mg,0.11 mg,4.11 mcg,124 mcg,123 mcg,0.22 mcg,0.48 mg,0.07 mg,0.19 mg,0.48 mg,0.12 mg,0.37 mcg,0.61 mg,43.4 mcg,nan g,0.00 g,
C0916A,"Pão de mel, s/ cobertura", ,313 kcal,38.7 g,39.1 g,4.89 g,15.6 g,1.40 g,0.00 g,1.83 g,96.0 mg,8.78 g,4.23 g,0.59 g,0.45 g,160 mg,1.86 mg,306 mg,15.9 mg,257 mg,375 mg,0.56 mg,0.08 mg,5.35 mcg,186 mcg,184 mcg,0.30 mcg,0.57 mg,0.09 mg,0.09 mg,0.52 mg,tr mg,0.26 mcg,0.11 mg,64.8 mcg,nan g,0.00 g,
C0045R,"Pão de queijo, mistura p/", ,421 kcal,10.3 g,70.0 g,3.65 g,14.0 g,nan g,0.00 g,2.01 g,63.1 mg,3.40 g,3.00 g,4.10 g,0.75 g,135 mg,0.44 mg,624 mg,10.5 mg,121 mg,89.6 mg,0.66 mg,tr mg,nan mcg,nan mcg,nan mcg,0.13 mcg,1.92 mg,tr mg,0.12 mg,tr mg,tr mg,0.27 mcg,0.00 mg,180 mcg,nan g,nan g,
C0044R,"Pão de queijo, mistura p/ (média de diferentes marcas)", ,417 kcal,9.93 g,72.3 g,1.04 g,13.8 g,0.06 g,0.00 g,2.97 g,62.2 mg,3.35 g,2.96 g,4.04 g,0.74 g,102 mg,2.84 mg,856 mg,19.4 mg,137 mg,95.9 mg,1.10 mg,tr mg,nan mcg,nan mcg,nan mcg,0.13 mcg,1.90 mg,tr mg,0.12 mg,tr mg,tr mg,0.27 mcg,0.00 mg,181 mcg,nan g,nan g,
C0881A,"Pão francês, c/ banana pacovã frita, c/ queijo coalho, c/ tucumã, c/ manteiga, s/ sal", ,248 kcal,47.1 g,32.8 g,8.56 g,9.74 g,2.74 g,0.00 g,1.74 g,22.4 mg,4.89 g,2.67 g,0.33 g,0.37 g,150 mg,1.64 mg,322 mg,37.1 mg,125 mg,235 mg,0.94 mg,0.12 mg,2.41 mcg,209 mcg,132 mcg,0.05 mcg,0.28 mg,0.17 mg,0.31 mg,0.79 mg,0.30 mg,0.07 mcg,1.26 mg,70.0 mcg,nan g,nan g,
C0470A,"Pão francês, c/ cream cheese", ,281 kcal,34.9 g,48.1 g,9.14 g,6.29 g,2.01 g,0.00 g,1.62 g,14.6 mg,3.46 g,1.79 g,0.54 g,0.19 g,23.1 mg,3.53 mg,599 mg,20.2 mg,92.4 mg,134 mg,0.72 mg,0.11 mg,5.62 mcg,1.57 mcg,50.7 mcg,0.08 mcg,0.27 mg,0.32 mg,0.58 mg,2.06 mg,0.49 mg,0.07 mcg,0.00 mg,117 mcg,nan g,nan g,
C1204A,"Pão francês, c/ doce de leite", ,305 kcal,25.8 g,60.7 g,8.59 g,3.50 g,1.74 g,0.00 g,1.62 g,nan mg,0.89 g,1.70 g,0.97 g,0.17 g,74.5 mg,2.91 mg,494 mg,22.0 mg,113 mg,186 mg,0.72 mg,0.10 mg,4.87 mcg,14.4 mcg,14.1 mcg,0.06 mcg,0.18 mg,0.29 mg,0.56 mg,1.64 mg,0.42 mg,0.11 mcg,0.00 mg,103 mcg,nan g,nan g,
C1158A,"Pão francês, c/ geleia", ,288 kcal,27.3 g,63.3 g,6.67 g,1.51 g,2.59 g,0.00 g,1.24 g,nan mg,0.48 g,0.42 g,0.34 g,0.17 g,11.7 mg,2.95 mg,464 mg,18.5 mg,68.4 mg,117 mg,0.56 mg,0.09 mg,4.87 mcg,1.36 mcg,1.36 mcg,0.00 mcg,0.12 mg,0.27 mg,0.48 mg,1.65 mg,0.43 mg,0.00 mcg,0.29 mg,100 mcg,nan g,nan g,
C0469A,"Pão francês, c/ requeijão", ,295 kcal,32.6 g,48.1 g,9.85 g,7.52 g,2.01 g,0.00 g,1.90 g,17.0 mg,3.69 g,1.95 g,0.44 g,0.35 g,76.4 mg,3.36 mg,653 mg,21.6 mg,180 mg,136 mg,0.96 mg,0.12 mg,8.62 mcg,1.57 mcg,1.57 mcg,0.10 mcg,0.30 mg,0.31 mg,0.59 mg,1.89 mg,0.49 mg,0.09 mcg,0.00 mg,117 mcg,nan g,nan g,
C0882A,"Pão francês, c/ tucumã", ,293 kcal,29.1 g,55.8 g,8.54 g,4.95 g,4.28 g,0.00 g,1.63 g,0.00 mg,1.35 g,2.13 g,0.55 g,0.21 g,19.5 mg,3.70 mg,568 mg,40.9 mg,91.9 mg,191 mg,0.83 mg,0.18 mg,6.08 mcg,395 mcg,198 mcg,0.00 mcg,0.15 mg,0.34 mg,0.59 mg,2.05 mg,0.55 mg,0.00 mcg,3.00 mg,124 mcg,nan g,nan g,
C0002A,"Pão francês, trigo, branco, de padaria (médias de diferentes amostras)", ,300 kcal,24.7 g,61.6 g,9.83 g,2.12 g,2.61 g,0.00 g,1.74 g,0.00 mg,0.68 g,0.62 g,0.48 g,0.25 g,14.2 mg,4.33 mg,681 mg,24.9 mg,99.7 mg,149 mg,0.82 mg,0.14 mg,7.30 mcg,2.04 mcg,2.04 mcg,0.00 mcg,0.18 mg,0.41 mg,0.70 mg,2.46 mg,0.63 mg,0.00 mcg,0.00 mg,149 mcg,nan g,nan g,
C0970A,"Pão,  c/ farinha de trigo integral, c/ uva passa, c/ canela em pó", ,251 kcal,35.3 g,49.8 g,10.2 g,2.47 g,5.41 g,0.00 g,2.22 g,0.00 mg,0.48 g,0.53 g,0.74 g,0.19 g,126 mg,2.84 mg,472 mg,57.9 mg,186 mg,191 mg,1.49 mg,0.15 mg,5.26 mcg,1.64 mcg,0.86 mcg,0.00 mcg,1.90 mg,0.08 mg,0.04 mg,0.04 mg,0.14 mg,0.00 mcg,0.41 mg,87.8 mcg,nan g,nan g,
C1062A,"Pão, Alemão, caseiro", ,357 kcal,20.6 g,58.2 g,9.72 g,9.90 g,1.81 g,0.00 g,1.61 g,36.4 mg,2.32 g,2.42 g,4.62 g,0.11 g,57.8 mg,4.24 mg,356 mg,27.5 mg,134 mg,183 mg,1.02 mg,0.15 mg,6.03 mcg,18.8 mcg,18.5 mcg,0.14 mcg,0.58 mg,0.19 mg,0.12 mg,1.15 mg,0.01 mg,0.20 mcg,0.00 mg,212 mcg,0.80 g,3.00 g,
C0927A,"Pão, arepa, c/ fubá e milho verde, c/ queijo muçarela", ,279 kcal,37.9 g,45.8 g,6.71 g,8.29 g,2.68 g,0.00 g,1.27 g,13.0 mg,3.22 g,2.28 g,2.63 g,0.11 g,86.8 mg,2.08 mg,230 mg,33.8 mg,120 mg,133 mg,1.01 mg,0.07 mg,4.82 mcg,74.0 mcg,59.3 mcg,0.02 mcg,0.36 mg,0.14 mg,0.10 mg,0.93 mg,0.01 mg,0.26 mcg,0.51 mg,5.18 mcg,nan g,0.00 g,
C0925A,"Pão, Arepa, c/ fubá e milho verde, c/ queijo parmesão", ,286 kcal,36.9 g,45.8 g,7.12 g,8.86 g,2.80 g,0.00 g,1.40 g,14.8 mg,3.58 g,2.46 g,2.63 g,0.13 g,99.1 mg,2.13 mg,288 mg,34.4 mg,134 mg,134 mg,1.05 mg,0.07 mg,5.10 mcg,72.5 mcg,57.7 mcg,0.03 mcg,0.36 mg,0.14 mg,0.11 mg,0.93 mg,0.02 mg,0.21 mcg,0.51 mg,5.18 mcg,nan g,0.00 g,
C0928A,"Pão, arepa, c/ fubá, c/ queijo muçarela", ,323 kcal,27.5 g,55.0 g,7.29 g,8.85 g,2.88 g,0.00 g,1.34 g,14.2 mg,3.48 g,2.51 g,2.82 g,0.11 g,97.8 mg,2.56 mg,237 mg,40.9 mg,132 mg,152 mg,1.19 mg,0.07 mg,5.81 mcg,79.3 mcg,64.3 mcg,0.02 mcg,0.39 mg,0.15 mg,0.13 mg,1.18 mg,0.01 mg,0.30 mcg,0.51 mg,1.44 mcg,nan g,0.00 g,
C0926A,"Pão, arepa, c/ fubá, c/ queijo parmesão", ,329 kcal,26.4 g,55.0 g,7.70 g,9.42 g,3.00 g,0.00 g,1.46 g,16.0 mg,3.84 g,2.68 g,2.82 g,0.13 g,110 mg,2.60 mg,294 mg,41.4 mg,146 mg,153 mg,1.22 mg,0.08 mg,6.10 mcg,77.9 mcg,62.8 mcg,0.03 mcg,0.40 mg,0.15 mg,0.14 mg,1.18 mg,0.02 mg,0.24 mcg,0.51 mg,1.44 mcg,nan g,0.00 g,
